FSA,lat_coord,lon_coord
H4L,45.5174,-73.6835
H4M,45.5006,-73.6856
H4N,45.5273,-73.6649
H4P,45.4964,-73.6643
H4R,45.5052,-73.7129
H4S,45.4869,-73.7425
H4T,45.4803,-73.6912
H4V,45.467,-73.6482
H4W,45.468,-73.6704
H4X,45.4536,-73.6518
H7A,45.6726,-73.5838
H7B,45.6767,-73.6222
H7C,45.6364,-73.6544
H7E,45.6135,-73.6819
H7G,45.577,-73.6875
H7H,45.6402,-73.7602
H7J,45.6649,-73.7016
H7K,45.628,-73.7275
H7L,45.6043,-73.7748
H7M,45.5992,-73.7155
H7N,45.5592,-73.7055
H7P,45.5798,-73.8013
H7R,45.5522,-73.8481
H7S,45.5801,-73.7388
H7T,45.5585,-73.7739
H7V,45.5463,-73.7367
H7W,45.5338,-73.7644
H7X,45.5307,-73.8074
H7Y,45.5285,-73.8509
H8N,45.4402,-73.6188
H8P,45.4246,-73.6031
H8R,45.4331,-73.6468
H8S,45.4502,-73.6893
H8T,45.4418,-73.7052
H8Y,45.5062,-73.7932
H8Z,45.5074,-73.8403
H9A,45.4949,-73.832
H9B,45.4905,-73.7994
H9C,45.5055,-73.8789
H9E,45.4865,-73.9092
H9G,45.4754,-73.837
H9H,45.4686,-73.8565
H9J,45.4546,-73.8933
H9K,45.4535,-73.9095
H9P,45.4661,-73.7542
H9R,45.4606,-73.8113
H9S,45.4414,-73.7745
H9W,45.4309,-73.8684
H9X,45.4261,-73.9351
J0A,45.8439,-71.9563
J0B,45.4065,-71.6707
J0C,45.9268,-72.491
J0E,45.283,-72.527
J0G,46.0198,-72.8263
J0H,45.6592,-72.7669
J0J,45.153,-73.162
J0K,46.6859,-73.9448
J0L,45.4093,-73.3848
J0M,58.6375,-73.9834
J0N,45.6182,-73.9478
J0P,45.3652,-74.312
J0R,45.8657,-74.1788
J0S,45.1066,-74.0458
J0T,46.303,-74.5729
J0V,45.8323,-74.9347
J0W,46.8411,-75.4602
J0X,46.4511,-76.7091
J0Y,55.647,-72.8941
J0Z,47.5106,-78.4674
J1A,45.0953,-71.8377
J1C,45.4782,-71.946
J1E,45.4236,-71.8751
J1G,45.4026,-71.8464
J1H,45.4019,-71.8803
J1J,45.4085,-71.9235
J1K,45.3827,-71.9323
J1L,45.4201,-71.9543
J1M,45.3658,-71.8414
J1N,45.3388,-72.0142
J1R,45.3967,-72.0428
J1S,45.6119,-71.9589
J1T,45.7661,-71.9397
J1X,45.2734,-72.1656
J1Z,45.95,-72.4665
J2A,45.8144,-72.4018
J2B,45.9019,-72.5367
J2C,45.8904,-72.5027
J2E,45.907,-72.5386
J2G,45.3968,-72.7443
J2H,45.3972,-72.6973
J2J,45.4038,-72.7812
J2K,45.2391,-72.7853
J2L,45.3007,-72.691
J2M,45.3571,-72.57
J2N,45.2789,-72.9613
J2R,45.6609,-72.939
J2S,45.6106,-72.9819
J2T,45.603,-72.9204
J2W,45.3688,-73.314
J2X,45.3106,-73.2187
J2Y,45.3113,-73.3556
J3A,45.3351,-73.2755
J3B,45.2823,-73.2788
J3E,45.6003,-73.3292
J3G,45.5937,-73.2382
J3H,45.5622,-73.1734
J3L,45.4444,-73.2715
J3M,45.4327,-73.1581
J3N,45.5239,-73.2756
J3P,46.042,-73.0567
J3R,46.0043,-73.151
J3T,46.2125,-72.6016
J3V,45.5314,-73.3434
